axis,level,profile_count,mean_death_probability,mean_win_probability,mean_expected_steps_to_absorption,delta_win_vs_axis_neutral,delta_steps_vs_axis_neutral
risk,cautious,9,0.78802729756,0.21197270244,30.301335052,0.0922902674989,2.9427900286
risk,neutral,9,0.880317565059,0.119682434941,27.3585450234,0,0
risk,reckless,9,0.932678699036,0.0673213009636,25.7474865557,-0.0523611339777,-1.6110584677
morality,selfish,9,0.876451012999,0.123548987001,26.7677358478,-0.0107636733497,-1.12626812445
morality,neutral,9,0.86568733965,0.13431266035,27.8940039722,0,0
morality,noble,9,0.858885209006,0.141114790994,28.7456268112,0.0068021306442,0.851622838926
action,physical,9,0.845910193502,0.154089806498,29.0355360362,0.0193620468061,1.32523518299
action,neutral,9,0.865272240308,0.134727759692,27.7103008532,0,0
action,tactical,9,0.889841127844,0.110158872156,26.6615297418,-0.0245688875357,-1.04877111145
