node_id,x,y,layer,order,component_id,source_node_id,source_cx,source_cy,source_rx,source_ry
1,0,5.2313,0,0,-1,001,292.6,-523.13,28.7,18
2,30.8782,1.3913,23,0,-1,002,3380.42,-139.13,28.7,18
3,122.201,10.8513,95,0,-1,003,12512.7,-1085.13,28.7,18
4,96.6006,13.0013,75,2,-1,004,9952.66,-1300.13,28.7,18
5,84.1098,13.1813,63,0,-1,005,8703.58,-1318.13,28.7,18
6,50.704,9.8513,39,0,-1,006,5363,-985.13,45.01,37.45
7,135.4271,11.1713,106,2,-1,007,13835.31,-1117.13,31.23,26.74
8,33.9701,7.5813,25,4,-1,008,3689.61,-758.13,28.7,18
9,99.9991,8.8813,78,1,-1,009,10292.51,-888.13,28.7,18
10,110.3389,10.5913,85,2,-1,010,11326.49,-1059.13,28.7,18
11,136.3842,8.5813,107,0,-1,011,13931.02,-858.13,28.7,18
12,55.7282,8.9013,43,0,-1,012,5865.42,-890.13,28.7,18
13,30.8782,3.9813,23,2,-1,013,3380.42,-398.13,45.01,26.74
14,17.8739,9.6713,14,6,-1,014,2079.99,-967.13,28.7,18
15,40.3286,10.2013,30,3,-1,015,4325.46,-1020.13,28.7,18
16,66.2259,9.8113,50,0,-1,016,6915.19,-981.13,28.7,18
17,32.5393,6.5413,24,5,-1,017,3546.53,-654.13,78.48,53.98
18,70.0447,12.6113,53,3,-1,018,7297.07,-1261.13,28.7,18
19,15.0255,1.5513,12,0,-1,019,1795.15,-155.13,28.7,18
20,105.1718,13.3613,82,1,-1,020,10809.78,-1336.13,28.7,18
21,74.3625,13.4013,56,2,-1,021,7728.85,-1340.13,28.7,18
22,118.1895,11.5813,91,1,-1,022,12111.55,-1158.13,51.74,26.74
23,113.2085,8.9613,87,0,-1,023,11613.45,-896.13,31.23,26.74
24,61.2254,8.6613,47,0,-1,024,6415.14,-866.13,28.7,18
25,136.3842,10.3913,107,2,-1,025,13931.02,-1039.13,28.7,18
26,103.9845,8.9413,81,0,-1,026,10691.05,-894.13,28.7,18
27,7.068,9.1113,6,3,-1,027,999.4,-911.13,28.7,18
28,33.9701,8.5413,25,5,-1,028,3689.61,-854.13,28.7,18
29,71.5007,13.4013,54,2,-1,029,7442.67,-1340.13,78.48,43.27
30,43.3413,10.2713,33,0,-1,030,4626.73,-1027.13,45.01,37.45
31,48.3404,9.0613,37,1,-1,031,5126.64,-906.13,28.7,18
32,59.0481,11.6813,46,2,-1,032,6197.41,-1168.13,28.7,18
33,19.8036,4.4613,15,2,-1,033,2272.96,-446.13,28.7,18
34,74.3625,12.1213,56,1,-1,034,7728.85,-1212.13,78.48,53.98
