node_id,x,y,layer,order,component_id
1,0,0,0,0,0
2,39.1,-1,23,3,1
3,158.1,0,93,0,2
4,124.1,1.5,73,0,3
5,102,0.5,60,0,4
6,62.9,0,37,0,5
7,176.8,0.5,104,0,6
8,40.76,4,24,0,7
9,129.2,-2,76,5,8
10,127.5,0,75,3,9
11,175.1,1,103,0,10
12,69.7,0,41,1,11
13,39.1,1,23,1,12
14,23.8,3,14,0,13
15,42.18,5.5,25,0,14
16,81.6,-1.5,48,3,15
17,23.8,-1,14,4,16
18,86.7,0,51,2,17
19,20.4,-2.5,12,5,18
20,136,1.5,80,0,19
21,91.8,-1,54,2,20
22,137.7,0.5,81,2,21
23,144.5,-0.5,85,1,22
24,76.5,-0.5,45,2,23
25,178.5,0.5,105,0,24
26,134.3,-3,79,6,25
27,10.2,0.5,6,0,26
28,42.26,1.5,25,4,14
29,88.4,-1,52,2,27
30,52.7,0.5,31,0,28
31,57.8,0,34,1,29
32,74.8,1,44,0,30
33,23.8,1,14,2,31
34,91.8,1,54,0,32
35,44.2,1,26,0,33
36,18.58,2.5,11,0,34
37,171.7,0,101,1,35
38,32.3,1.5,19,0,36
39,15.3,1,9,0,37
40,27.2,-2,16,4,38
41,127.5,2,75,1,39
42,42.34,4.5,25,1,14
43,25.5,2.5,15,0,40
44,27.2,0,16,2,41
45,134.3,-1,79,4,42
46,81.6,-0.5,48,2,43
47,20.4,-0.5,12,3,44
48,40.8,-3,24,7,45
49,170,-1.5,100,3,46
50,44.2,-1,26,2,47
51,141.1,1,83,0,48
52,11.9,0.5,7,0,49
53,25.5,-2.5,15,5,50
54,86.7,2,51,0,51
55,10.2,-0.5,6,1,52
56,3.4,0.5,2,2,53
57,108.8,0,64,0,54
58,124.1,-0.5,73,2,55
59,28.9,1.5,17,0,56
60,176.8,-0.5,104,1,57
61,151.3,0,89,0,58
62,137.7,1.5,81,1,59
63,163.2,0.5,96,0,60
64,79.9,-1,47,2,61
65,127.5,-2,75,5,62
66,181.9,0,107,0,63
67,6.8,2,4,1,64
68,42.42,-1.5,25,7,14
69,22.1,-3.5,13,7,65
70,40.84,3,24,1,7
71,125.8,-2,74,4,66
72,93.5,-0.5,55,2,67
73,40.8,-4,24,8,68
74,3.4,-1.5,2,4,69
75,127.5,3,75,0,70
76,95.2,1,56,0,71
77,18.7,-0.5,11,3,72
78,68,0.5,40,1,73
79,103.7,0,61,0,74
80,175.1,0,103,1,75
81,61.2,0.5,36,0,76
82,69.7,1,41,0,77
83,132.6,-0.5,78,2,78
84,86.7,-1,51,3,79
85,1.7,1,1,0,80
86,42.5,3.5,25,2,14
87,147.9,0.5,87,0,81
88,56.1,-0.5,33,1,82
89,23.8,-2,14,5,83
90,85,-0.5,50,2,84
91,164.9,-0.5,97,1,85
92,34,2,20,2,86
93,35.7,2,21,1,87
94,173.4,-0.5,102,2,88
95,100.3,0,59,0,89
96,22.1,-0.5,13,4,90
97,66.3,-0.5,39,1,91
98,168.3,1,99,0,92
99,3.4,1.5,2,1,93
100,136,-0.5,80,2,94
101,6.8,0,4,3,95
102,98.6,0,58,1,96
103,35.7,3,21,0,97
104,132.6,-1.5,78,3,98
105,28.9,-1.5,17,3,99
