node_id,x,y,layer,order,component_id
106,37.4,0.5,22,1,100
107,137.7,-1.5,81,4,101
108,178.5,-0.5,105,1,102
109,110.5,0,65,0,103
110,8.5,0,5,1,104
111,107.1,0,63,0,105
112,22.1,-1.5,13,5,106
113,30.6,0.5,18,1,107
114,88.4,1,52,0,108
115,129.2,-1,76,4,109
116,129.2,1,76,2,110
117,37.4,-0.5,22,2,111
118,96.9,1,57,0,112
119,22.1,0.5,13,3,113
120,85,-1.5,50,3,114
121,32.3,-1.5,19,3,115
122,115.6,0.5,68,0,116
123,35.7,-2,21,5,117
124,30.6,1.5,18,0,118
125,6.76,3,4,0,119
126,79.9,1,47,0,120
127,42.5,-0.5,25,6,121
128,34,1,20,3,122
129,156.4,0,92,0,123
130,42.58,-2.5,25,8,14
131,5.1,-0.5,3,2,124
132,69.7,-1,41,2,125
133,139.4,-0.5,82,3,126
134,25.5,-1.5,15,4,127
135,122.4,1,72,0,128
136,22.1,1.5,13,2,129
137,139.4,-2.5,82,5,130
138,5.1,-1.5,3,3,131
139,180.2,0,106,0,132
140,18.66,1.5,11,1,34
141,1.7,0,1,1,133
142,96.9,0,57,1,134
143,81.6,1.5,48,0,135
144,161.5,0,95,0,136
145,139.4,0.5,82,2,137
146,74.8,-1,44,2,138
147,42.66,-3.5,25,9,14
148,57.8,1,34,0,139
149,83.3,1.5,49,0,140
150,130.9,1,77,1,141
151,146.2,-0.5,86,1,142
152,168.3,-1,99,2,143
153,120.7,0,71,0,144
154,76.5,-1.5,45,3,145
155,22.1,2.5,13,1,146
156,130.9,2,77,0,147
157,51,0,30,0,148
158,35.7,1,21,2,149
159,73.1,0,43,1,150
160,125.8,-1,74,3,151
161,139.4,-1.5,82,4,152
162,40.8,-2,24,6,153
163,129.2,3,76,0,154
164,112.2,0,66,0,155
165,141.1,0,83,1,156
166,129.2,-3,76,6,157
167,52.7,-0.5,31,1,158
168,68,-0.5,40,2,159
169,137.7,-2.5,81,5,160
170,47.6,0.5,28,0,161
171,86.7,-2,51,4,162
172,86.7,1,51,1,163
173,34,0,20,4,164
174,129.2,0,76,3,165
175,125.8,1,74,1,166
176,76.5,0.5,45,1,167
177,130.9,0,77,2,168
178,54.4,-1,32,2,169
179,139.4,2.5,82,0,170
180,136,0.5,80,1,171
181,139.4,1.5,82,1,172
182,127.5,1,75,2,173
183,64.6,0,38,0,174
184,78.2,0,46,1,175
185,34,-3,20,7,176
186,17,0,10,1,177
187,15.3,0,9,1,178
188,88.4,0,52,1,179
189,93.5,0.5,55,1,180
190,134.3,2,79,1,181
191,74.8,0,44,1,182
192,83.3,-1.5,49,3,183
193,78.2,1,46,0,184
194,54.4,1,32,0,185
195,27.2,2,16,0,186
196,159.8,0,94,0,187
197,85,0.5,50,1,188
198,166.6,-0.5,98,1,189
199,59.5,0.5,35,0,190
200,66.3,0.5,39,0,191
201,42.74,-4.5,25,10,14
202,122.4,0,72,1,192
203,173.4,-1.5,102,3,193
204,105.4,0,62,0,194
205,134.3,0,79,3,195
206,117.3,0,69,0,196
207,45.9,1,27,0,197
208,56.1,0.5,33,0,198
209,142.8,-1,84,2,199
210,170,1.5,100,0,200
211,32.3,0.5,19,1,201
212,142.8,0,84,1,202
213,42.5,2.5,25,3,203
214,6.84,-3,4,6,119
215,20.4,2.5,12,0,204
216,57.8,-1,34,2,205
217,163.2,-0.5,96,1,206
218,125.8,2,74,0,207
219,149.6,0.5,88,0,208
220,73.1,-1,43,2,209
221,142.8,1,84,0,210
222,5.1,0.5,3,1,211
223,124.1,0.5,73,1,212
224,119,0,70,0,213
225,13.6,1,8,0,214
226,23.8,0,14,3,215
227,96.9,-1,57,2,216
228,17,1,10,0,217
229,3.4,2.5,2,0,218
230,134.3,1,79,2,219
231,170,-0.5,100,2,220
232,134.3,-2,79,5,221
233,115.6,-0.5,68,1,222
234,78.2,-1,46,2,223
235,71.4,1,42,0,224
236,130.9,-1,77,3,225
237,91.8,0,54,1,226
238,42.82,-5.5,25,11,14
239,90.1,1,53,0,227
240,102,-0.5,60,1,228
241,6.8,-1,4,4,229
242,127.5,-1,75,4,230
243,45.9,-1,27,2,231
244,34,3,20,1,232
245,132.6,1.5,78,0,233
246,83.3,0.5,49,1,234
247,71.4,0,42,1,235
248,25.5,1.5,15,1,236
249,136,-1.5,80,3,237
250,13.6,0,8,1,238
251,125.8,0,74,2,239
252,20.4,1.5,12,1,240
253,79.9,0,47,1,241
254,73.1,1,43,0,242
255,68,1.5,40,0,243
256,85,1.5,50,0,244
257,137.7,-0.5,81,3,245
258,42.5,0.5,25,5,246
259,35.7,-3,21,6,247
260,129.2,2,76,1,248
261,54.4,0,32,1,249
262,71.4,-1,42,2,250
263,39.1,2,23,0,251
264,61.2,-0.5,36,1,252
265,95.2,0,56,1,253
266,141.1,-1,83,2,254
267,5.1,1.5,3,0,255
268,153,0,90,0,256
269,164.9,0.5,97,0,257
270,90.1,-1,53,2,258
271,98.6,-1,58,2,259
272,23.8,-3,14,6,260
273,137.7,2.5,81,0,261
274,25.5,0.5,15,2,262
275,1.7,-1,1,2,263
276,40.8,0,24,4,264
277,28.9,0.5,17,1,265
278,81.6,0.5,48,1,266
279,20.4,-1.5,12,4,267
280,45.9,0,27,1,268
281,17,-1,10,2,269
282,173.4,1.5,102,0,270
283,34,-1,20,5,271
284,124.1,-1.5,73,3,272
285,8.5,-1,5,2,273
286,127.5,-3,75,6,274
287,37.4,1.5,22,0,275
288,154.7,0,91,0,276
289,173.4,0.5,102,1,277
290,18.74,-1.5,11,4,34
291,6.8,-2,4,5,278
292,130.9,-2,77,4,279
293,15.3,-1,9,2,280
294,132.6,0.5,78,1,281
295,32.3,-0.5,19,2,282
296,83.3,-0.5,49,2,283
297,35.7,0,21,3,284
298,30.6,-0.5,18,2,285
299,95.2,-1,56,2,286
300,27.2,1,16,1,287
301,8.5,1,5,0,288
302,6.8,1,4,2,289
303,90.1,0,53,1,290
304,37.4,-1.5,22,3,291
305,27.2,-1,16,3,292
306,68,-1.5,40,3,293
307,40.8,2,24,2,294
308,113.9,0,67,0,295
309,34,-4,20,8,296
310,170,0.5,100,1,297
311,18.7,0.5,11,2,298
312,93.5,-1.5,55,3,299
313,23.8,2,14,1,300
314,166.6,0.5,98,0,301
315,40.8,1,24,3,302
316,25.5,-0.5,15,3,303
317,149.6,-0.5,88,1,304
318,144.5,0.5,85,0,305
319,49.3,0,29,0,306
320,59.5,-0.5,35,1,307
321,134.3,3,79,0,308
322,22.1,-2.5,13,6,309
323,18.82,-2.5,11,5,34
324,20.4,0.5,12,2,310
325,11.9,-0.5,7,1,311
326,146.2,0.5,86,0,312
327,47.6,-0.5,28,1,313
328,93.5,1.5,55,0,314
329,122.4,-1,72,2,315
330,39.1,0,23,2,316
331,44.2,0,26,1,317
332,171.7,1,101,0,318
333,3.4,-0.5,2,3,319
334,39.1,-2,23,4,320
335,30.6,-1.5,18,3,321
336,35.7,-1,21,4,322
337,147.9,-0.5,87,1,323
338,28.9,-0.5,17,2,324
339,171.7,-1,101,2,325
340,76.5,1.5,45,0,326
341,168.3,0,99,1,327
342,34,-2,20,6,328
343,40.8,-1,24,5,329
344,175.1,-1,103,2,330
345,3.4,-2.5,2,5,331
346,22.1,3.5,13,0,332
347,34,4,20,0,333
348,98.6,1,58,0,334
349,13.6,-1,8,2,335
350,183.6,0,108,0,336
