profile_id,risk,morality,action,edge_id,source_id,target_id,transition_kind,compiled_weight,source_is_transient,expected_flow,expected_flow_given_death,expected_flow_given_win
neutral_noble_neutral,neutral,noble,neutral,e0056,27,250,profile_choice,0.5,true,0.0520625,0.0505721670684,0.0620613927923
neutral_noble_neutral,neutral,noble,neutral,e0057,27,52,profile_choice,0.5,true,0.0520625,0.0505660530057,0.0621024130613
neutral_noble_neutral,neutral,noble,neutral,e0058,28,130,profile_choice,0.5,true,0.264821267408,0.243787674436,0.40593915906
neutral_noble_neutral,neutral,noble,neutral,e0059,28,147,profile_choice,0.5,true,0.264821267408,0.242988196427,0.411302990682
neutral_noble_neutral,neutral,noble,neutral,e0060,29,270,combat,0.833,true,0.00681717394934,0.00507961507523,0.0184747469215
neutral_noble_neutral,neutral,noble,neutral,e0061,29,Death,combat,0.167,true,0.00136670834278,0.00157041594256,0
neutral_noble_neutral,neutral,noble,neutral,e0062,30,194,profile_choice,0.8,true,0.267955631554,0.248208607334,0.400441718361
neutral_noble_neutral,neutral,noble,neutral,e0063,30,261,profile_choice,0.2,true,0.0669889078885,0.0626101350046,0.0963668272114
neutral_noble_neutral,neutral,noble,neutral,e0064,31,264,forced,1,true,0.0854304785865,0.0783899807073,0.132666355891
neutral_noble_neutral,neutral,noble,neutral,e0065,32,176,profile_choice,0.5,true,0.0695127743313,0.0414065010013,0.258082460919
neutral_noble_neutral,neutral,noble,neutral,e0066,32,340,profile_choice,0.5,true,0.0695127743313,0.0478305130754,0.214982689946
neutral_noble_neutral,neutral,noble,neutral,e0067,33,248,forced,1,true,0.056894665,0.0583373804407,0.0472152459146
neutral_noble_neutral,neutral,noble,neutral,e0068,34,328,combat,0.833,true,0.0093047901326,0.0047099717978,0.0401321945042
neutral_noble_neutral,neutral,noble,neutral,e0069,34,Death,combat,0.167,true,0.00186542611302,0.00214346749474,0
neutral_noble_neutral,neutral,noble,neutral,e0070,35,207,forced,1,true,0.0514494967252,0.0477436291175,0.0763127820535
neutral_noble_neutral,neutral,noble,neutral,e0071,36,140,random,0.5,true,0.0203250868056,0.0195267185667,0.0256814727915
neutral_noble_neutral,neutral,noble,neutral,e0072,36,323,random,0.5,true,0.0203250868056,0.0195267185667,0.0256814727915
neutral_noble_neutral,neutral,noble,neutral,e0073,37,282,kai,0.5,true,0.00821219569959,0,0.0633091895661
neutral_noble_neutral,neutral,noble,neutral,e0074,37,289,profile_choice,0.5,true,0.00821219569959,0,0.0633091895661
neutral_noble_neutral,neutral,noble,neutral,e0075,38,128,profile_choice,0.5,true,0.0471953125,0.0481152018244,0.041023621235
neutral_noble_neutral,neutral,noble,neutral,e0076,38,347,profile_choice,0.5,true,0.0471953125,0.0475581194909,0.0447611797436
neutral_noble_neutral,neutral,noble,neutral,e0077,39,228,forced,1,true,0.00867708333333,0.00842258044869,0.0103845857343
neutral_noble_neutral,neutral,noble,neutral,e0078,40,105,forced,1,true,0.068090625,0.0719246172874,0.0423677297758
neutral_noble_neutral,neutral,noble,neutral,e0079,41,174,profile_choice,0.5,true,0.00362271108316,0.00114530079428,0.0202440708856
neutral_noble_neutral,neutral,noble,neutral,e0080,41,116,profile_choice,0.5,true,0.00362271108316,0.00114530079428,0.0202440708856
neutral_noble_neutral,neutral,noble,neutral,e0081,42,86,profile_choice,0.25,true,0.0616349300871,0.0557290953622,0.101258162596
neutral_noble_neutral,neutral,noble,neutral,e0082,42,238,profile_choice,0.25,true,0.0616349300871,0.0566837160985,0.0948534524823
neutral_noble_neutral,neutral,noble,neutral,e0083,42,157,profile_choice,0.25,true,0.0616349300871,0.0568754424344,0.0935671284416
neutral_noble_neutral,neutral,noble,neutral,e0084,42,147,profile_choice,0.25,true,0.0616349300871,0.056553465835,0.0957273232752
neutral_noble_neutral,neutral,noble,neutral,e0085,43,195,combat,0.4165,true,0.0228035557726,0.0222929641721,0.026229200181
neutral_noble_neutral,neutral,noble,neutral,e0086,43,106,escape,0.5,true,0.0273752170139,0.0266108675366,0.0325033654414
neutral_noble_neutral,neutral,noble,neutral,e0087,43,Death,combat,0.0835,true,0.00457166124132,0.00525306641701,0
neutral_noble_neutral,neutral,noble,neutral,e0088,44,277,random,0.5,true,0.0305006775,0.0318130595288,0.0216956870645
neutral_noble_neutral,neutral,noble,neutral,e0089,44,338,random,0.5,true,0.0305006775,0.0318130595288,0.0216956870645
neutral_noble_neutral,neutral,noble,neutral,e0090,45,180,forced,1,true,0.0289816886653,0.00888741102319,0.163797556735
neutral_noble_neutral,neutral,noble,neutral,e0091,46,296,kai,0.5,true,0.0159271144187,0.00992329731553,0.056207727084
neutral_noble_neutral,neutral,noble,neutral,e0092,46,246,profile_choice,0.25,true,0.00796355720933,0.00580088965801,0.0224732553667
neutral_noble_neutral,neutral,noble,neutral,e0093,46,90,profile_choice,0.25,true,0.00796355720933,0.00496164865777,0.028103863542
neutral_noble_neutral,neutral,noble,neutral,e0094,47,136,profile_choice,0.5,true,0.0184875,0.0193381883511,0.0127800896344
neutral_noble_neutral,neutral,noble,neutral,e0095,47,322,profile_choice,0.5,true,0.0184875,0.0192180355307,0.0135862149933
neutral_noble_neutral,neutral,noble,neutral,e0096,48,243,forced,1,true,0.0189925692537,0.0186138409015,0.0215335210846
neutral_noble_neutral,neutral,noble,neutral,e0097,49,339,random,0.5,true,0.00402390949829,0.00199436328883,0.0176404743179
neutral_noble_neutral,neutral,noble,neutral,e0098,49,60,random,0.5,true,0.00402390949829,0.00462367238839,0
neutral_noble_neutral,neutral,noble,neutral,e0099,50,97,profile_choice,0.5,true,0.00949628462685,0.00930692045075,0.0107667605423
neutral_noble_neutral,neutral,noble,neutral,e0100,50,243,profile_choice,0.5,true,0.00949628462685,0.00930692045075,0.0107667605423
neutral_noble_neutral,neutral,noble,neutral,e0101,51,288,profile_choice,0.5,true,0.0259581739952,0.00820653831131,0.145056865524
neutral_noble_neutral,neutral,noble,neutral,e0102,51,221,profile_choice,0.5,true,0.0259581739952,0.00820653831131,0.145056865524
neutral_noble_neutral,neutral,noble,neutral,e0103,52,225,kai,0.5,true,0.02603125,0.0252799694715,0.0310717166651
neutral_noble_neutral,neutral,noble,neutral,e0104,52,250,kai,0.5,true,0.02603125,0.0252860835342,0.0310306963962
neutral_noble_neutral,neutral,noble,neutral,e0105,53,Death,outcome,1,true,0.002618754375,0.00300907918054,0
neutral_noble_neutral,neutral,noble,neutral,e0106,54,Death,outcome,1,true,0.0174580871615,0.0200602114926,0
neutral_noble_neutral,neutral,noble,neutral,e0107,55,325,combat,0.833,true,0.0833,0.0867416170914,0.0602096155633
neutral_noble_neutral,neutral,noble,neutral,e0108,55,Death,combat,0.167,true,0.0167,0.0191891315943,0
neutral_noble_neutral,neutral,noble,neutral,e0109,56,222,forced,1,true,0.25,0.23271790598,0.365948458005
neutral_noble_neutral,neutral,noble,neutral,e0110,57,164,profile_choice,0.333333333333,true,3.21884229974e-05,1.62933889291e-05,0.0001388308639
neutral_noble_neutral,neutral,noble,neutral,e0111,57,109,profile_choice,0.333333333333,true,3.21884229974e-05,1.62933889291e-05,0.0001388308639
neutral_noble_neutral,neutral,noble,neutral,e0112,57,308,profile_choice,0.333333333333,true,3.21884229974e-05,1.62933889291e-05,0.0001388308639
neutral_noble_neutral,neutral,noble,neutral,e0113,58,251,profile_choice,0.5,true,0.0386422515537,0.0105739679284,0.226957058862
neutral_noble_neutral,neutral,noble,neutral,e0114,58,160,profile_choice,0.5,true,0.0386422515537,0.0274879195978,0.113478529431
neutral_noble_neutral,neutral,noble,neutral,e0115,59,124,profile_choice,0.333333333333,true,0.00380059262876,0.00373651261437,0.00423051615823
neutral_noble_neutral,neutral,noble,neutral,e0116,59,106,profile_choice,0.333333333333,true,0.00380059262876,0.003694475443,0.00451255056878
neutral_noble_neutral,neutral,noble,neutral,e0117,59,211,profile_choice,0.333333333333,true,0.00380059262876,0.00377854978575,0.00394848174768
neutral_noble_neutral,neutral,noble,neutral,e0118,60,Death,outcome,1,true,0.00528087822782,0.00606799205072,0
neutral_noble_neutral,neutral,noble,neutral,e0119,61,268,forced,1,true,0.0471989316069,0.0149216905841,0.263752337751
neutral_noble_neutral,neutral,noble,neutral,e0120,62,288,forced,1,true,0.0187769140675,0.00593622127238,0.104927268742
neutral_noble_neutral,neutral,noble,neutral,e0121,63,269,combat,0.833,true,0.0536306657932,0.00924364583888,0.351430603306
neutral_noble_neutral,neutral,noble,neutral,e0122,63,Death,combat,0.167,true,0.0107518861794,0.0123544526218,0
neutral_noble_neutral,neutral,noble,neutral,e0123,64,188,profile_choice,0.333333333333,true,0.0523742614844,0.0307283100516,0.197600568425
neutral_noble_neutral,neutral,noble,neutral,e0124,64,16,profile_choice,0.666666666667,true,0.104748522969,0.0712740615785,0.329334280709
neutral_noble_neutral,neutral,noble,neutral,e0125,65,104,forced,1,true,0.0386422515537,0.0238911414481,0.137609915348
neutral_noble_neutral,neutral,noble,neutral,e0126,66,350,forced,1,true,0.0839053033866,0,0.646840011128
neutral_noble_neutral,neutral,noble,neutral,e0127,67,252,forced,1,true,0.1875,0.17267290238,0.286977476733
neutral_noble_neutral,neutral,noble,neutral,e0128,68,130,profile_choice,0.5,true,0.0339514445395,0.0312548300559,0.0520434819308
neutral_noble_neutral,neutral,noble,neutral,e0129,68,15,profile_choice,0.5,true,0.0339514445395,0.0314393249812,0.0508056746333
neutral_noble_neutral,neutral,noble,neutral,e0130,69,272,forced,1,true,0.1052,0.111123517204,0.0654581327813
neutral_noble_neutral,neutral,noble,neutral,e0131,70,8,kai,0.5,true,0.359885312119,0.33142635396,0.550821220187
neutral_noble_neutral,neutral,noble,neutral,e0132,70,28,profile_choice,0.25,true,0.179942656059,0.165378981768,0.277652781643
neutral_noble_neutral,neutral,noble,neutral,e0133,70,157,profile_choice,0.25,true,0.179942656059,0.166047372192,0.273168438543
neutral_noble_neutral,neutral,noble,neutral,e0134,71,65,kai,0.5,true,0.0386422515537,0.0238911414481,0.137609915348
neutral_noble_neutral,neutral,noble,neutral,e0135,71,242,profile_choice,0.166666666667,true,0.0128807505179,0.00967294130096,0.034402478837
neutral_noble_neutral,neutral,noble,neutral,e0136,71,104,profile_choice,0.333333333333,true,0.0257615010358,0.0159274276321,0.0917399435654
neutral_noble_neutral,neutral,noble,neutral,e0137,72,265,combat,0.833,true,0.087255519633,0.044167684689,0.376339007713
neutral_noble_neutral,neutral,noble,neutral,e0138,72,Death,combat,0.167,true,0.0174930033358,0.0201003319155,0
