profile_id,risk,morality,action,death_probability,win_probability,expected_transitions,expected_transitions_given_death,expected_transitions_given_win,trajectory_entropy_nats,entropy_per_transition_nats,expected_distinct_nodes,expected_coverage,expected_shared_nodes_same_profile,replay_overlap_ratio,replayability,choice_exposure,global_agency_total,global_agency_mean
neutral_selfish_neutral,neutral,selfish,neutral,0.892143189948,0.107856810052,25.9198627518,22.8041336477,51.6917773913,14.5448090898,0.561145297298,24.1827750213,0.069093642918,5.19370807859,0.214768903652,0.785231096348,15.5550934017,0.466475480225,0.0299886004011
neutral_selfish_tactical,neutral,selfish,tactical,0.920026562287,0.0799734377127,24.5881895249,22.0711462142,53.5446376965,13.3575068632,0.543248897999,22.8891296228,0.0653975132079,4.84413733697,0.211634842251,0.788365157749,14.6867062526,0.411761233081,0.0280363225082
neutral_neutral_physical,neutral,neutral,physical,0.863287956284,0.136712043716,28.538208385,24.6905620405,52.8347272502,15.8491856628,0.555367227298,26.7381358916,0.076394673976,5.90488952166,0.220841480708,0.779158519292,16.9734748029,0.505092663282,0.0297577643438
neutral_neutral_neutral,neutral,neutral,neutral,0.880188858957,0.119811141043,27.2116703819,23.6939401,53.054567595,15.4782115487,0.568807843529,25.4762008547,0.072789145299,5.2085544751,0.20444784938,0.79555215062,16.0622473267,0.520065359635,0.0323781192667
neutral_neutral_tactical,neutral,neutral,tactical,0.896163709007,0.103836290993,26.499637545,23.2394926372,54.6364625848,14.4663973481,0.54590925342,24.8014836652,0.0708613819007,5.00626302917,0.201853368804,0.798146631196,15.5018024527,0.504030238036,0.0325142988742
neutral_noble_physical,neutral,noble,physical,0.861323765983,0.138676234017,29.3800927828,25.3877014668,54.1769986688,15.7896001323,0.537425128268,27.5816438983,0.0788046968522,6.13201243898,0.222322224941,0.777677775059,17.2840148894,0.512118655023,0.0296296120028
neutral_noble_neutral,neutral,noble,neutral,0.870284302234,0.129715697766,28.3318882833,24.4684822742,54.2521250839,15.6411798181,0.552069797173,26.5980369593,0.0759943913123,5.51160361384,0.207218435792,0.792781564208,16.5414077479,0.54440169864,0.0329114490699
neutral_noble_tactical,neutral,noble,tactical,0.878621698224,0.121378301776,27.938476941,24.1216010138,55.5677151156,14.8038592937,0.529873526212,26.2412290835,0.0749749402385,5.3956302312,0.205616521011,0.794383478989,16.1614865947,0.548952808498,0.0339667273354
reckless_selfish_physical,reckless,selfish,physical,0.939401601333,0.0605983986672,24.961960412,23.1362296707,53.2645957899,12.8329891019,0.514101812921,23.2255130573,0.066358608735,5.08230469013,0.21882421618,0.78117578382,14.7325476089,0.275597870105,0.0187067354147
reckless_selfish_neutral,reckless,selfish,neutral,0.945559429628,0.0544405703718,24.4198905699,22.6712537831,54.7913578696,12.6839409489,0.519410228828,22.7863254996,0.0651037871416,4.79140517829,0.210275464484,0.789724535516,14.342434981,0.275383274111,0.0192005942141
reckless_selfish_tactical,reckless,selfish,tactical,0.94560312572,0.0543968742799,24.7211059094,22.8464087338,57.3097340701,12.7349351766,0.515144234375,23.1328896972,0.0660939705635,4.72383040929,0.204204077879,0.795795922121,14.4448295053,0.293149599869,0.0202944312885
reckless_neutral_physical,reckless,neutral,physical,0.929706437493,0.0702935625072,26.063489614,23.9442873548,54.0921726466,12.950855157,0.496896438228,24.3288879173,0.0695111083352,5.56481064499,0.228732635207,0.771267364793,15.0727773175,0.294010030679,0.0195060289479
reckless_neutral_neutral,reckless,neutral,neutral,0.933215538197,0.0667844618033,25.7256059255,23.5881411766,55.5935611678,12.9387029913,0.502950368932,24.0950584341,0.0688430240973,5.26738864833,0.218608668775,0.781391331225,14.7793245853,0.302988373245,0.0205008267798
reckless_neutral_tactical,reckless,neutral,tactical,0.931050877439,0.0689491225607,26.2098451009,23.857873433,57.9695717482,13.0661633053,0.498521195186,24.6252439483,0.0703578398523,5.21497946989,0.211773718094,0.788226281906,14.9967351717,0.331110258232,0.0220788227866
reckless_noble_physical,reckless,noble,physical,0.922616279278,0.0773837207219,26.5451102999,24.2289582312,54.1596987941,12.6472036384,0.476441932075,24.8128156758,0.0708937590738,5.99192918446,0.241485257568,0.758514742432,15.2314101788,0.303047377737,0.0198962127721
reckless_noble_neutral,reckless,noble,neutral,0.925139705434,0.074860294566,26.2639448923,23.888257679,55.6232011101,12.7264209484,0.484558622118,24.6371693745,0.0703919124985,5.66939712998,0.230115604752,0.769884395248,14.9678504118,0.318599389444,0.0212855808067
reckless_noble_tactical,reckless,noble,tactical,0.921815296806,0.0781847031943,26.8164262775,24.176335726,57.9436897439,12.8955816979,0.480883677954,25.2363439494,0.0721038398556,5.62990203553,0.223087070251,0.776912929749,15.2292012975,0.354200991957,0.023258014983
