profile_id,risk,morality,action,death_probability,win_probability,expected_transitions,expected_transitions_given_death,expected_transitions_given_win,trajectory_entropy_nats,entropy_per_transition_nats,expected_distinct_nodes,expected_coverage,expected_shared_nodes_same_profile,replay_overlap_ratio,replayability,choice_exposure,global_agency_total,global_agency_mean
cautious_selfish_physical,cautious,selfish,physical,0.741652778517,0.258347221483,32.1621991044,25.8884177691,50.1727174,15.7439673841,0.489517751352,30.2843423907,0.0865266925447,8.93248587032,0.294953932137,0.705046067863,19.152908264,0.580813633509,0.0303250882582
cautious_selfish_neutral,cautious,selfish,neutral,0.788484819077,0.211515180923,29.6721858814,24.3371227383,49.5601971286,14.8734394213,0.501258635974,27.8279908637,0.0795085453249,7.4223250372,0.266721556491,0.733278443509,17.6569918383,0.592405664565,0.0335507695755
cautious_selfish_tactical,cautious,selfish,tactical,0.854369567881,0.145630432119,26.6453498611,22.5863262756,50.458409922,13.3034639815,0.499279013067,24.8172204697,0.0709063441991,6.09822627579,0.245725595388,0.754274404612,15.8106790215,0.519340651198,0.0328474602824
cautious_neutral_physical,cautious,neutral,physical,0.742447740535,0.257552259465,32.6512994414,26.253737813,51.0935961069,16.4277793694,0.503127889256,30.7737325285,0.0879249500815,8.6602137383,0.281415773347,0.718584226653,19.3181113283,0.623202147156,0.0322599935658
cautious_neutral_neutral,cautious,neutral,neutral,0.777364063911,0.222635936089,30.4797727955,24.7972496509,50.3210857592,15.5823073736,0.511234367728,28.6357133941,0.0818163239831,7.35838056504,0.256965156194,0.743034843806,17.9640243876,0.650345089578,0.0362026389826
cautious_neutral_tactical,cautious,neutral,tactical,0.837760875025,0.162239124975,27.6665065609,23.126349049,51.1107055513,13.9197683253,0.503127067908,25.8384189554,0.0738240541583,6.18493113656,0.239369566197,0.760630433803,16.2301738445,0.585507999754,0.0360752759253
cautious_noble_physical,cautious,noble,physical,0.751937139494,0.248062860506,33.1985856711,26.8504528394,52.441276144,16.8244721737,0.506782799135,31.321250599,0.0894892874256,8.27471262755,0.264188449353,0.735811550647,19.5028337756,0.663958447324,0.034044203779
cautious_noble_neutral,cautious,noble,neutral,0.77507025539,0.22492974461,31.3678861973,25.5144889838,51.5377133627,16.1216492777,0.513953958398,29.5239352889,0.0843541008254,7.19925184086,0.243844588142,0.756155411858,18.3567505772,0.705110890704,0.0384115308282
cautious_noble_tactical,cautious,noble,tactical,0.823158438208,0.176841561792,28.8682299553,23.8858327014,52.0601894722,14.4836143527,0.501714666093,27.0401757784,0.0772576450812,6.24096060857,0.230803255855,0.769196744145,16.7957697231,0.64451778014,0.038373816191
neutral_selfish_physical,neutral,selfish,physical,0.860818042604,0.139181957396,27.8188786152,24.0190490856,51.3202136957,15.2353776386,0.547663255926,26.0171825129,0.0743348071798,6.05942893372,0.232901042636,0.767098957364,16.7480000429,0.484894006093,0.0289523528094
