profile_a,profile_b,node_visit_js_divergence_nats,edge_flow_js_divergence_nats,win_probability_gap,trajectory_entropy_gap_nats
cautious_selfish_tactical,cautious_neutral_neutral,0.0161988236272,0.0205170767046,0.07700550397,2.2788433921
cautious_selfish_tactical,cautious_neutral_tactical,0.00458507203311,0.00604488559445,0.016608692856,0.6163043438
cautious_selfish_tactical,cautious_noble_physical,0.0574393628435,0.0750603292001,0.102432428387,3.5210081922
cautious_selfish_tactical,cautious_noble_neutral,0.031062874788,0.0406138054556,0.079299312491,2.8181852962
cautious_selfish_tactical,cautious_noble_tactical,0.0204333608477,0.0267481446701,0.031211129673,1.1801503712
cautious_selfish_tactical,neutral_selfish_physical,0.0533440753839,0.0732264509096,0.006448474723,1.9319136571
cautious_selfish_tactical,neutral_selfish_neutral,0.0338285307929,0.0457601444095,0.037773622067,1.2413451083
cautious_selfish_tactical,neutral_selfish_tactical,0.0317720052078,0.0407953949309,0.0656569944063,0.0540428817
cautious_selfish_tactical,neutral_neutral_physical,0.0715503432889,0.0955647112056,0.008918388403,2.5457216813
cautious_selfish_tactical,neutral_neutral_neutral,0.0523229054538,0.0680069029354,0.025819291076,2.1747475672
cautious_selfish_tactical,neutral_neutral_tactical,0.04826774796,0.0609306374864,0.041794141126,1.1629333666
cautious_selfish_tactical,neutral_noble_physical,0.09528102019,0.125921365148,0.006954198102,2.4861361508
cautious_selfish_tactical,neutral_noble_neutral,0.0763897901567,0.0986559378433,0.015914734353,2.3377158366
cautious_selfish_tactical,neutral_noble_tactical,0.0711322231341,0.0898027658765,0.024252130343,1.5003953122
cautious_selfish_tactical,reckless_selfish_physical,0.118225613819,0.158336639065,0.0850320334518,0.4704748796
cautious_selfish_tactical,reckless_selfish_neutral,0.108661586765,0.144489945574,0.0911898617472,0.6195230326
cautious_selfish_tactical,reckless_selfish_tactical,0.10075597542,0.132994151558,0.0912335578391,0.5685288049
cautious_selfish_tactical,reckless_neutral_physical,0.1451283017,0.189809840393,0.0753368696118,0.3526088245
cautious_selfish_tactical,reckless_neutral_neutral,0.133011056252,0.173740036174,0.0788459703157,0.3647609902
cautious_selfish_tactical,reckless_neutral_tactical,0.123365399311,0.160519871652,0.0766813095583,0.2373006762
cautious_selfish_tactical,reckless_noble_physical,0.163926376039,0.211932047471,0.0682467113971,0.6562603431
cautious_selfish_tactical,reckless_noble_neutral,0.15032042255,0.194404774388,0.070770137553,0.5770430331
cautious_selfish_tactical,reckless_noble_tactical,0.140227810011,0.18059980343,0.0674457289247,0.4078822836
cautious_neutral_physical,cautious_neutral_neutral,0.0108982045148,0.0142317257599,0.034916323376,0.8454719958
cautious_neutral_physical,cautious_neutral_tactical,0.0434182724981,0.0546639886008,0.09531313449,2.5080110441
cautious_neutral_physical,cautious_noble_physical,0.00740199192528,0.00987961241304,0.009489398959,0.3966928043
cautious_neutral_physical,cautious_noble_neutral,0.0181530827008,0.0233400921693,0.032622514855,0.3061300917
cautious_neutral_physical,cautious_noble_tactical,0.0515683061363,0.0643556291713,0.080710697673,1.9441650167
cautious_neutral_physical,neutral_selfish_physical,0.0250596684127,0.0358787782353,0.118370302069,1.1924017308
cautious_neutral_physical,neutral_selfish_neutral,0.0411209469663,0.0542169469276,0.149695449413,1.8829702796
cautious_neutral_physical,neutral_selfish_tactical,0.074353463752,0.0940811403777,0.177578821752,3.0702725062
cautious_neutral_physical,neutral_neutral_physical,0.0386561775966,0.0500931139808,0.120840215749,0.5785937066
cautious_neutral_physical,neutral_neutral_neutral,0.05250398192,0.065756798172,0.137741118422,0.9495678207
cautious_neutral_physical,neutral_neutral_tactical,0.0844300652499,0.104652102548,0.153715968472,1.9613820213
cautious_neutral_physical,neutral_noble_physical,0.0604522339604,0.0764672619349,0.118876025448,0.6381792371
cautious_neutral_physical,neutral_noble_neutral,0.0726364755178,0.0899511360756,0.127836561699,0.7865995513
cautious_neutral_physical,neutral_noble_tactical,0.102993900469,0.126518138588,0.136173957689,1.6239200757
cautious_neutral_physical,reckless_selfish_physical,0.108832210961,0.142634414165,0.196953860798,3.5947902675
cautious_neutral_physical,reckless_selfish_neutral,0.119991469702,0.154334256734,0.203111689093,3.7438384205
cautious_neutral_physical,reckless_selfish_tactical,0.133599631298,0.169613783431,0.203155385185,3.6928441928
cautious_neutral_physical,reckless_neutral_physical,0.134142507192,0.170280013174,0.187258696958,3.4769242124
cautious_neutral_physical,reckless_neutral_neutral,0.142125756625,0.179031078795,0.190767797662,3.4890763781
cautious_neutral_physical,reckless_neutral_tactical,0.154339089763,0.193076263434,0.188603136904,3.3616160641
cautious_neutral_physical,reckless_noble_physical,0.15316672049,0.191706537982,0.180168538743,3.780575731
cautious_neutral_physical,reckless_noble_neutral,0.159380966457,0.198693405267,0.182691964899,3.701358421
cautious_neutral_physical,reckless_noble_tactical,0.171065814107,0.212121142137,0.179367556271,3.5321976715
cautious_neutral_neutral,cautious_neutral_tactical,0.0130381897237,0.016132783047,0.060396811114,1.6625390483
cautious_neutral_neutral,cautious_noble_physical,0.0173302634536,0.0235333962182,0.025426924417,1.2421648001
cautious_neutral_neutral,cautious_noble_neutral,0.00724681624169,0.0096291485888,0.002293808521,0.5393419041
cautious_neutral_neutral,cautious_noble_tactical,0.0205913533702,0.0255866317219,0.045794374297,1.0986930209
cautious_neutral_neutral,neutral_selfish_physical,0.0310455927111,0.0454933408946,0.083453978693,0.346929735
cautious_neutral_neutral,neutral_selfish_neutral,0.0286377445269,0.0396763794061,0.114779126037,1.0374982838
cautious_neutral_neutral,neutral_selfish_tactical,0.0454990762625,0.0584888987556,0.142662498376,2.2248005104
cautious_neutral_neutral,neutral_neutral_physical,0.0429894590677,0.058445394507,0.085923892373,0.2668782892
cautious_neutral_neutral,neutral_neutral_neutral,0.0389645016506,0.0504622294911,0.102824795046,0.1040958249
cautious_neutral_neutral,neutral_neutral_tactical,0.0537671667079,0.0673318684924,0.118799645096,1.1159100255
cautious_neutral_neutral,neutral_noble_physical,0.0633454271821,0.0836142441833,0.083959702072,0.2072927587
cautious_neutral_neutral,neutral_noble_neutral,0.0585804617606,0.0746086849869,0.092920238323,0.0588724445
cautious_neutral_neutral,neutral_noble_tactical,0.0718082326304,0.0892349344533,0.101257634313,0.7784480799
cautious_neutral_neutral,reckless_selfish_physical,0.10536710637,0.141880409266,0.162037537422,2.7493182717
cautious_neutral_neutral,reckless_selfish_neutral,0.105517706243,0.139855671811,0.168195365717,2.8983664247
cautious_neutral_neutral,reckless_selfish_tactical,0.107882399631,0.140851092912,0.168239061809,2.847372197
cautious_neutral_neutral,reckless_neutral_physical,0.129008817098,0.16817928958,0.152342373582,2.6314522166
cautious_neutral_neutral,reckless_neutral_neutral,0.126194694608,0.163469633825,0.155851474286,2.6436043823
cautious_neutral_neutral,reckless_neutral_tactical,0.127051175104,0.163074067214,0.153686813528,2.5161440683
cautious_neutral_neutral,reckless_noble_physical,0.147012320776,0.188799228707,0.145252215367,2.9351037352
cautious_neutral_neutral,reckless_noble_neutral,0.142618792968,0.182545834536,0.147775641523,2.8558864252
cautious_neutral_neutral,reckless_noble_tactical,0.143072358117,0.181697067577,0.144451232895,2.6867256757
cautious_neutral_tactical,cautious_noble_physical,0.0464777037589,0.0603823404917,0.085823735531,2.9047038484
cautious_neutral_tactical,cautious_noble_neutral,0.0182498697011,0.0236623452008,0.062690619635,2.2018809524
cautious_neutral_tactical,cautious_noble_tactical,0.00652771391476,0.008608919215,0.014602436817,0.5638460274
cautious_neutral_tactical,neutral_selfish_physical,0.0521542218069,0.0728328554737,0.023057167579,1.3156093133
cautious_neutral_tactical,neutral_selfish_neutral,0.0315551412098,0.0443463510699,0.054382314923,0.6250407645
cautious_neutral_tactical,neutral_selfish_tactical,0.0278285178668,0.0373258000814,0.0822656872623,0.5622614621
