axis,level,metric,profile_count,mean,std,minimum,maximum,delta_vs_axis_neutral
risk,cautious,death_probability,9,0.78802729756,0.0393295379043,0.741652778517,0.854369567881,-0.0922902674989
risk,cautious,win_probability,9,0.21197270244,0.0393295379043,0.145630432119,0.258347221483,0.0922902674989
risk,cautious,expected_transitions,9,30.301335052,2.14234419808,26.6453498611,33.1985856711,2.94279002861
risk,cautious,expected_transitions_given_death,9,24.8044419801,1.36479971182,22.5863262756,26.8504528394,0.971541037833
risk,cautious,expected_transitions_given_win,9,50.9728767608,0.88295478604,49.5601971286,52.441276144,-2.48037047054
risk,cautious,trajectory_entropy_nats,9,15.2533846288,1.1189226866,13.3034639815,16.8244721737,0.234926029333
risk,cautious,entropy_per_transition_nats,9,0.503332905435,0.00667865470241,0.489517751352,0.513953958398,-0.045723786468
risk,cautious,expected_distinct_nodes,9,28.4514200298,2.12363356233,24.8172204697,31.321250599,2.83744030653
risk,cautious,expected_coverage,9,0.0812897715138,0.00606752446377,0.0709063441991,0.0894892874256,0.00810697230438
risk,cautious,expected_shared_nodes_same_profile,9,7.37460974447,1.01395165866,6.09822627579,8.93248587032,1.90169556011
risk,cautious,replay_overlap_ratio,9,0.258220874789,0.0196261686834,0.230803255855,0.294953932137,0.044709244881
risk,cautious,replayability,9,0.741779125211,0.0196261686834,0.705046067863,0.769196744145,-0.044709244881
risk,cautious,choice_exposure,9,17.8653603067,1.28165583083,15.8106790215,19.5028337756,1.69711213873
risk,cautious,global_agency_total,9,0.618355811548,0.0519648381189,0.519340651198,0.705110890704,0.118601129046
risk,cautious,global_agency_mean,9,0.0346767530431,0.00261816342102,0.0303250882582,0.0384115308282,0.00377283675294
risk,neutral,death_probability,9,0.880317565059,0.01856613521,0.860818042604,0.920026562287,0
risk,neutral,win_probability,9,0.119682434941,0.0185661352101,0.0799734377127,0.139181957396,0
risk,neutral,expected_transitions,9,27.3585450234,1.39355088493,24.5881895249,29.3800927828,0
risk,neutral,expected_transitions_given_death,9,23.8329009422,0.955018040727,22.0711462142,25.3877014668,0
risk,neutral,expected_transitions_given_win,9,53.4532472313,1.3010879068,51.3202136957,55.5677151156,0
risk,neutral,trajectory_entropy_nats,9,15.0184585995,0.764845960739,13.3575068632,15.8491856628,0
risk,neutral,entropy_per_transition_nats,9,0.549056691903,0.011225019934,0.529873526212,0.568807843529,0
risk,neutral,expected_distinct_nodes,9,25.6139797233,1.36675203472,22.8891296228,27.5816438983,0
risk,neutral,expected_coverage,9,0.0731827992094,0.00390500581349,0.0653975132079,0.0788046968522,0
risk,neutral,expected_shared_nodes_same_profile,9,5.47291418436,0.438868262149,4.84413733697,6.13201243898,0
risk,neutral,replay_overlap_ratio,9,0.213511629908,0.00961717155697,0.201853368804,0.232901042636,0
risk,neutral,replayability,9,0.786488370092,0.00961717155697,0.767098957364,0.798146631196,0
risk,neutral,choice_exposure,9,16.1682481679,0.774241034953,14.6867062526,17.2840148894,0
risk,neutral,global_agency_total,9,0.499754682501,0.0395771674301,0.411761233081,0.548952808498,0
risk,neutral,global_agency_mean,9,0.0309039162902,0.00194321094066,0.0280363225082,0.0339667273354,0
risk,reckless,death_probability,9,0.932678699036,0.00860249319825,0.921815296806,0.94560312572,0.0523611339778
risk,reckless,win_probability,9,0.0673213009636,0.00860249319831,0.0543968742799,0.0781847031943,-0.0523611339777
risk,reckless,expected_transitions,9,25.7474865557,0.802267394728,24.4198905699,26.8164262775,-1.61105846772
risk,reckless,expected_transitions_given_death,9,23.5930828654,0.541719337588,22.6712537831,24.2289582312,-0.239818076867
risk,reckless,expected_transitions_given_win,9,55.6386203267,1.64904431146,53.2645957899,57.9695717482,2.18537309539
risk,reckless,trajectory_entropy_nats,9,12.830754774,0.133755116014,12.6472036384,13.0661633053,-2.18770382551
risk,reckless,entropy_per_transition_nats,9,0.498767612291,0.0147974211358,0.476441932075,0.519410228828,-0.0502890796118
risk,reckless,expected_distinct_nodes,9,24.0978052837,0.805671361978,22.7863254996,25.2363439494,-1.51617443957
risk,reckless,expected_coverage,9,0.0688508722392,0.00230191817714,0.0651037871416,0.0721038398556,-0.00433192697018
risk,reckless,expected_shared_nodes_same_profile,9,5.32621637677,0.399210040742,4.72383040929,5.99192918446,-0.146697807593
risk,reckless,replay_overlap_ratio,9,0.220789634799,0.0108483828566,0.204204077879,0.241485257568,0.00727800489056
risk,reckless,replayability,9,0.779210365201,0.0108483828566,0.758514742432,0.795795922121,-0.00727800489056
risk,reckless,choice_exposure,9,14.8663456731,0.300460357772,14.342434981,15.2314101788,-1.30190249486
risk,reckless,global_agency_total,9,0.305343018375,0.0242603336811,0.275383274111,0.354200991957,-0.194411664126
risk,reckless,global_agency_mean,9,0.020525249777,0.00137476370485,0.0187067354147,0.023258014983,-0.0103786665131
morality,selfish,death_probability,9,0.876451012999,0.068561758617,0.741652778517,0.94560312572,0.0107636733497
morality,selfish,win_probability,9,0.123548987001,0.0685617586171,0.0543968742799,0.258347221483,-0.0107636733497
morality,selfish,expected_transitions,9,26.7677358478,2.51853464253,24.4198905699,32.1621991044,-1.12626812444
morality,selfish,expected_transitions_given_death,9,23.373343102,1.11242136439,22.0711462142,25.8884177691,-0.759060592989
morality,selfish,expected_transitions_given_win,9,52.4570712182,2.36443665375,49.5601971286,57.3097340701,-0.954756605144
morality,selfish,trajectory_entropy_nats,9,13.9233810673,1.11388878817,12.6839409489,15.7439673841,-0.596549052844
morality,selfish,entropy_per_transition_nats,9,0.521196569749,0.022983803167,0.489517751352,0.561145297298,0.000536386250556
morality,selfish,expected_distinct_nodes,9,25.0181521261,2.44144310587,22.7863254996,30.2843423907,-1.12772293933
morality,selfish,expected_coverage,9,0.0714804346461,0.00697555173106,0.0651037871416,0.0865266925447,-0.00322206554099
morality,selfish,expected_shared_nodes_same_profile,9,5.90531686781,1.35288080029,4.72383040929,8.93248587032,-0.135839935416
morality,selfish,replay_overlap_ratio,9,0.233334403455,0.0288131577789,0.204204077879,0.294953932137,0.00400015715467
morality,selfish,replayability,9,0.766665596545,0.0288131577789,0.705046067863,0.795795922121,-0.00400015715467
morality,selfish,choice_exposure,9,15.9033545462,1.55966274305,14.342434981,19.152908264,-0.418720033444
morality,selfish,global_agency_total,9,0.433313490306,0.119328741889,0.275383274111,0.592405664565,-0.0462811940934
morality,selfish,global_agency_mean,9,0.0268780394169,0.00554194825637,0.0187067354147,0.0335507695755,-0.0021523794134
morality,neutral,death_probability,9,0.86568733965,0.0648456646419,0.742447740535,0.933215538197,0
morality,neutral,win_probability,9,0.13431266035,0.0648456646418,0.0667844618033,0.257552259465,0
morality,neutral,expected_transitions,9,27.8940039722,2.18794108839,25.7256059255,32.6512994414,0
morality,neutral,expected_transitions_given_death,9,24.132403695,0.922694247365,23.126349049,26.253737813,0
morality,neutral,expected_transitions_given_win,9,53.4118278233,2.31368676214,50.3210857592,57.9695717482,0
morality,neutral,trajectory_entropy_nats,9,14.5199301202,1.28636141211,12.9387029913,16.4277793694,0
morality,neutral,entropy_per_transition_nats,9,0.520660183498,0.0263152195064,0.496896438228,0.568807843529,0
morality,neutral,expected_distinct_nodes,9,26.1458750655,2.11179554142,24.0950584341,30.7737325285,0
morality,neutral,expected_coverage,9,0.074702500187,0.00603370154694,0.0688430240973,0.0879249500815,0
morality,neutral,expected_shared_nodes_same_profile,9,6.04115680323,1.15017878153,5.00626302917,8.6602137383,0
morality,neutral,replay_overlap_ratio,9,0.229334246301,0.02460146977,0.201853368804,0.281415773347,0
morality,neutral,replayability,9,0.770665753699,0.02460146977,0.718584226653,0.798146631196,0
morality,neutral,choice_exposure,9,16.3220745797,1.43537473509,14.7793245853,19.3181113283,0
morality,neutral,global_agency_total,9,0.4795946844,0.129769295722,0.294010030679,0.650345089578,0
morality,neutral,global_agency_mean,9,0.0290304188303,0.0062108067733,0.0195060289479,0.0362026389826,0
morality,noble,death_probability,9,0.858885209006,0.0602551580386,0.751937139494,0.925139705434,-0.00680213064411
morality,noble,win_probability,9,0.141114790994,0.0602551580386,0.074860294566,0.248062860506,0.00680213064411
morality,noble,expected_transitions,9,28.7456268112,2.17736254167,26.2639448923,33.1985856711,0.851622838933
morality,noble,expected_transitions_given_death,9,24.7246789906,0.940527984325,23.8858327014,26.8504528394,0.592275295622
morality,noble,expected_transitions_given_win,9,54.1958452773,1.90542333263,51.5377133627,57.9436897439,0.784017453922
morality,noble,trajectory_entropy_nats,9,14.6592868148,1.49127538995,12.6472036384,16.8244721737,0.1393566946
morality,noble,entropy_per_transition_nats,9,0.509300456381,0.0250074590085,0.476441932075,0.552069797173,-0.0113597271177
morality,noble,expected_distinct_nodes,9,26.9991778452,2.09756228363,24.6371693745,31.321250599,0.853302779767
morality,noble,expected_coverage,9,0.0771405081292,0.00599303509605,0.0703919124985,0.0894892874256,0.00243800794219
morality,noble,expected_shared_nodes_same_profile,9,6.22726663455,0.886521946368,5.3956302312,8.27471262755,0.186109831326
morality,noble,replay_overlap_ratio,9,0.229853489741,0.0173627627456,0.205616521011,0.264188449353,0.000519243439889
morality,noble,replayability,9,0.770146510259,0.0173627627456,0.735811550647,0.794383478989,-0.000519243439889
morality,noble,choice_exposure,9,16.6745250218,1.43684064612,14.9678504118,19.5028337756,0.352450442089
morality,noble,global_agency_total,9,0.510545337719,0.143877269905,0.303047377737,0.705110890704,0.0309506533189
morality,noble,global_agency_mean,9,0.0301974608631,0.00670580133955,0.0198962127721,0.0384115308282,0.00116704203282
action,physical,death_probability,9,0.845910193502,0.0766036762201,0.741652778517,0.939401601333,-0.0193620468061
action,physical,win_probability,9,0.154089806498,0.0766036762201,0.0605983986672,0.258347221483,0.0193620468061
action,physical,expected_transitions,9,29.0355360362,2.86077606567,24.961960412,33.1985856711,1.32523518299
action,physical,expected_transitions_given_death,9,24.9332662523,1.16123704264,23.1362296707,26.8504528394,0.959591804167
action,physical,expected_transitions_given_win,9,52.617332944,1.39300812237,50.1727174,54.1769986688,-0.318843330222
action,physical,trajectory_entropy_nats,9,14.9223811398,1.55267105884,12.6472036384,16.8244721737,0.412307648933
action,physical,entropy_per_transition_nats,9,0.514147137162,0.0255295602538,0.476441932075,0.555367227298,-0.00978498727989
action,physical,expected_distinct_nodes,9,27.2315004968,2.80390632097,23.2255130573,31.321250599,1.25781097569
action,physical,expected_coverage,9,0.0778042871338,0.00801116091702,0.066358608735,0.0894892874256,0.00359374564486
action,physical,expected_shared_nodes_same_profile,9,6.73364307223,1.37711708991,5.08230469013,8.93248587032,0.775641453653
action,physical,replay_overlap_ratio,9,0.245073890231,0.0266585484948,0.21882421618,0.294953932137,0.0169665316017
action,physical,replayability,9,0.754926109769,0.0266585484948,0.705046067863,0.78117578382,-0.0169665316017
action,physical,choice_exposure,9,17.1128975787,1.7728328822,14.7325476089,19.5028337756,0.865550327867
action,physical,global_agency_total,9,0.471414981212,0.138731379944,0.275597870105,0.663958447324,-0.014782265471
action,physical,global_agency_mean,9,0.027008665766,0.00559838580706,0.0187067354147,0.034044203779,-0.00237245755899
action,neutral,death_probability,9,0.865272240308,0.0644434857571,0.77507025539,0.945559429628,0
action,neutral,win_probability,9,0.134727759692,0.064443485757,0.0544405703718,0.22492974461,0
action,neutral,expected_transitions,9,27.7103008532,2.25081045852,24.4198905699,31.3678861973,0
action,neutral,expected_transitions_given_death,9,23.9736744482,0.864588758911,22.6712537831,25.5144889838,0
action,neutral,expected_transitions_given_win,9,52.9361762742,2.13981811677,49.5601971286,55.6232011101,0
action,neutral,trajectory_entropy_nats,9,14.5100734909,1.29452599217,12.6839409489,16.1216492777,0
action,neutral,entropy_per_transition_nats,9,0.523932124442,0.0278412508026,0.484558622118,0.568807843529,0
action,neutral,expected_distinct_nodes,9,25.9736895211,2.17175196283,22.7863254996,29.5239352889,0
action,neutral,expected_coverage,9,0.0742105414889,0.00620500560813,0.0651037871416,0.0843541008254,0
action,neutral,expected_shared_nodes_same_profile,9,5.95800161858,0.995114693396,4.79140517829,7.4223250372,0
action,neutral,replay_overlap_ratio,9,0.228107358629,0.0214935587668,0.20444784938,0.266721556491,0
action,neutral,replayability,9,0.771892641371,0.0214935587668,0.733278443509,0.79555215062,0
action,neutral,choice_exposure,9,16.2473472508,1.39062348371,14.342434981,18.3567505772,0
action,neutral,global_agency_total,9,0.486197246683,0.148012291291,0.275383274111,0.705110890704,0
action,neutral,global_agency_mean,9,0.029381123325,0.00679315134453,0.0192005942141,0.0384115308282,0
action,tactical,death_probability,9,0.889841127844,0.0412636076312,0.823158438208,0.94560312572,0.0245688875357
action,tactical,win_probability,9,0.110158872156,0.0412636076313,0.0543968742799,0.176841561792,-0.0245688875357
action,tactical,expected_transitions,9,26.6615297418,1.32617099269,24.5881895249,28.8682299553,-1.04877111143
action,tactical,expected_transitions_given_death,9,23.3234850871,0.695335566491,22.0711462142,24.176335726,-0.650189361067
action,tactical,expected_transitions_given_win,9,54.5112351005,2.74137423023,50.458409922,57.9695717482,1.57505882627
action,tactical,trajectory_entropy_nats,9,13.6701433716,0.723796109878,12.7349351766,14.8038592937,-0.839930119278
action,tactical,entropy_per_transition_nats,9,0.513077948024,0.0209270338137,0.480883677954,0.54590925342,-0.0108541764182
action,tactical,expected_distinct_nodes,9,24.9580150189,1.27371027694,22.8891296228,27.0401757784,-1.01567450226
action,tactical,expected_coverage,9,0.0713086143397,0.00363917221984,0.0653975132079,0.0772576450812,-0.00290192714922
action,tactical,expected_shared_nodes_same_profile,9,5.48209561477,0.553626269042,4.72383040929,6.24096060857,-0.475906003807
action,tactical,replay_overlap_ratio,9,0.219340890637,0.0152120576867,0.201853368804,0.245725595388,-0.00876646799244
action,tactical,replayability,9,0.780659109363,0.0152120576867,0.754274404612,0.798146631196,0.00876646799244
action,tactical,choice_exposure,9,15.5397093182,0.732841477801,14.4448295053,16.7957697231,-0.707637932656
